date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:52	33284/33284	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:41:51%20GMT	https://hasa.botble.com/vi	D:/Demo-DACS2/hasa.botble.com/vi.html	(from )
13:41:52	24/24	---M--	200	added ('OK')	text/plain	etag:%22626673dc-18%22	https://hasa.botble.com/robots.txt		(from )
13:41:53	14500/14500	---M--	200	added ('OK')	image/png	etag:%22623fa94e-38a4%22	https://cdn.botble.com/hasa/storage/general/favicon.png	D:/Demo-DACS2/cdn.botble.com/hasa/storage/general/favicon.png	(from https://hasa.botble.com/vi)
13:41:54	1859/1859	---MCZ	200	added ('OK')	text/css	etag:W/%226344d637-743%22	https://cdn.botble.com/vendor/core/plugins/cookie-consent/css/cookie-consent.css?v=1.0.0	D:/Demo-DACS2/cdn.botble.com/vendor/core/plugins/cookie-consent/css/cookie-consente209.css	(from https://hasa.botble.com/vi)
13:41:54	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-7187%22	https://cdn.botble.com/themes/september/plugins/font-awesome/css/font-awesome.min.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/font-awesome/css/font-awesome.min.css	(from https://hasa.botble.com/vi)
13:41:55	13249/13249	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-33c1%22	https://cdn.botble.com/themes/september/fonts/feather-font/css/iconfont.css	D:/Demo-DACS2/cdn.botble.com/themes/september/fonts/feather-font/css/iconfont.css	(from https://hasa.botble.com/vi)
13:41:55	159479/159479	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-26ef7%22	https://cdn.botble.com/themes/september/plugins/bootstrap/css/bootstrap.min.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/bootstrap/css/bootstrap.min.css	(from https://hasa.botble.com/vi)
13:41:56	1328/1328	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-530%22	https://cdn.botble.com/themes/september/plugins/slick/slick.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/slick/slick.css	(from https://hasa.botble.com/vi)
13:41:56	830/830	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-33f%22	https://cdn.botble.com/themes/september/plugins/jquery-bar-rating/themes/fontawesome-stars.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/jquery-bar-rating/themes/fontawesome-stars.css	(from https://hasa.botble.com/vi)
13:41:56	4017/4017	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-fb1%22	https://cdn.botble.com/themes/september/plugins/nouislider/nouislider.min.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/nouislider/nouislider.min.css	(from https://hasa.botble.com/vi)
13:41:57	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-d17%22	https://cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.carousel.min.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.carousel.min.css	(from https://hasa.botble.com/vi)
13:41:57	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%226344d596-695%22	https://cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.theme.css	D:/Demo-DACS2/cdn.botble.com/themes/september/plugins/owl-carousel/css/owl.theme.css	(from https://hasa.botble.com/vi)
